z,u,v,θ,u2,v2,ε,uv,u2_sgs,v2_sgs,uv_sgs,u3_res,v3_res,p,σ
-2.6437500000e+01,9.7938582590e-06,-1.0756048505e-04,2.8300583963e+02,4.8426802609e-05,4.8075949067e-05,-3.1506845115e-08,-8.8394905436e-08,6.7639164625e-08,6.1256387654e-08,-3.2277700861e-09,2.7859611373e-09,-1.7553772695e-08,-2.4401611502e-04,4.5192307692e-01
-2.6812500000e+01,9.5216105241e-06,-1.0590256158e-04,2.8300583047e+02,4.8321532002e-05,4.8019042922e-05,-3.1266598981e-08,-9.2968768231e-08,6.6748400722e-08,6.0269283931e-08,-3.4764622059e-09,2.5954126513e-09,-1.7532630331e-08,-2.4319699856e-04,4.5833333333e-01
-2.7187500000e+01,9.2903162765e-06,-1.0421065450e-04,2.8300582011e+02,4.8222034275e-05,4.7955730168e-05,-3.1001071170e-08,-9.6971163715e-08,6.5942299037e-08,5.8995872302e-08,-3.4788959868e-09,2.3003455493e-09,-1.7516385641e-08,-2.4235881167e-04,4.6474358974e-01
-2.7562500000e+01,8.9812878582e-06,-1.0259555367e-04,2.8300580844e+02,4.8139441069e-05,4.7888467497e-05,-3.0745366033e-08,-1.0015407282e-07,6.4573495453e-08,5.7803578779e-08,-3.2121629745e-09,1.9025775463e-09,-1.7299081264e-08,-2.4150235772e-04,4.7115384615e-01
-2.7937500000e+01,8.3358301875e-06,-1.0091550877e-04,2.8300579528e+02,4.8073601506e-05,4.7816955765e-05,-3.0499082548e-08,-1.0284955726e-07,6.2636835984e-08,5.6708322855e-08,-2.7501770667e-09,1.4663746498e-09,-1.6803263063e-08,-2.4062750232e-04,4.7756410256e-01
-2.8312500000e+01,7.6298258870e-06,-9.8928813445e-05,2.8300578089e+02,4.8025345737e-05,4.7743173118e-05,-3.0247228458e-08,-1.0588707635e-07,6.0896261809e-08,5.5664216737e-08,-2.4147345530e-09,9.7363884524e-10,-1.6173189345e-08,-2.3973337650e-04,4.8397435897e-01
-2.8687500000e+01,7.0806781790e-06,-9.7055424142e-05,2.8300576524e+02,4.7984186382e-05,4.7677026169e-05,-3.0002072924e-08,-1.0971029182e-07,5.9667858008e-08,5.4766333213e-08,-2.3858682083e-09,5.7030699634e-10,-1.5636562554e-08,-2.3882034976e-04,4.9038461538e-01
-2.9062500000e+01,6.7445693584e-06,-9.5390011795e-05,2.8300574821e+02,4.7948826847e-05,4.7617006103e-05,-2.9752064070e-08,-1.1379133782e-07,5.8631397281e-08,5.3643404278e-08,-2.3672454655e-09,1.8286408991e-10,-1.5376691806e-08,-2.3788928913e-04,4.9679487179e-01
-2.9437500000e+01,6.4786567395e-06,-9.3985250015e-05,2.8300572987e+02,4.7935745744e-05,4.7568781620e-05,-2.9496136218e-08,-1.1830950600e-07,5.7932169899e-08,5.2493358446e-08,-2.4261619560e-09,-2.6820905007e-10,-1.5336531704e-08,-2.3693990931e-04,5.0320512821e-01
-2.9812500000e+01,6.4793052143e-06,-9.3530966606e-05,2.8300571026e+02,4.7934682248e-05,4.7539332541e-05,-2.9242606638e-08,-1.2295622105e-07,5.7180924611e-08,5.2013383203e-08,-2.6481988272e-09,-7.8361645477e-10,-1.5610873780e-08,-2.3597291208e-04,5.0961538462e-01
-3.0187500000e+01,6.7988242134e-06,-9.3478553908e-05,2.8300568907e+02,4.7937071674e-05,4.7525227721e-05,-2.8981084140e-08,-1.2653210456e-07,5.6348391783e-08,5.2183626147e-08,-2.5291144097e-09,-1.2892385932e-09,-1.6052230785e-08,-2.3498912970e-04,5.1602564103e-01
-3.0562500000e+01,7.8297198106e-06,-9.3215044305e-05,2.8300566654e+02,4.7950484723e-05,4.7519867364e-05,-2.8737618458e-08,-1.2949242505e-07,5.5924201461e-08,5.2167233866e-08,-2.1736415411e-09,-1.7322396296e-09,-1.6453934704e-08,-2.3398997708e-04,5.2243589744e-01
